"","Nome","Link"
"1","Marília Mendonça","https://pt.wikipedia.org/wiki/Marília_Mendonça"
"2","Bruno & Marrone","https://pt.wikipedia.org/wiki/Bruno_%26_Marrone"
"3","Naiara Azevedo","https://pt.wikipedia.org/wiki/Naiara_Azevedo"
"4","Eduardo Costa","https://pt.wikipedia.org/wiki/Eduardo_Costa"
"5","Diego & Victor Hugo","https://pt.wikipedia.org/wiki/Diego_%26_Victor_Hugo"
"6","Luan Santana","https://pt.wikipedia.org/wiki/Luan_Santana"
"7","George Henrique & Rodrigo","https://pt.wikipedia.org/wiki/George_Henrique_%26_Rodrigo"
"8","Thiago Brava","https://pt.wikipedia.org/wiki/Thiago_Brava"
"9","Jads & Jadson","https://pt.wikipedia.org/wiki/Jads_%26_Jadson"
"10","Léo Santana","https://pt.wikipedia.org/wiki/Léo_Santana"
"11","Gusttavo Lima","https://pt.wikipedia.org/wiki/Gusttavo_Lima"
"12","Zé Neto & Cristiano","https://pt.wikipedia.org/wiki/Zé_Neto_%26_Cristiano"
"13","Matheus & Kauan","https://pt.wikipedia.org/wiki/Matheus_%26_Kauan"
"14","Henrique & Juliano","https://pt.wikipedia.org/wiki/Henrique_%26_Juliano"
"15","Jorge & Mateus","https://pt.wikipedia.org/wiki/Jorge_%26_Mateus"
"16","Zé Ricardo & Thiago","https://pt.wikipedia.org/wiki/Zé_Ricardo_%26_Thiago"
"17","Wesley Safadão","https://pt.wikipedia.org/wiki/Wesley_Safadão"
"18","Michel Teló","https://pt.wikipedia.org/wiki/Michel_Teló"
"19","Marcos & Belutti","https://pt.wikipedia.org/wiki/Marcos_%26_Belutti"
"20","Victor & Leo","https://pt.wikipedia.org/wiki/Victor_%26_Leo"
"21","Zezé Di Camargo & Luciano","https://pt.wikipedia.org/wiki/Zezé_Di_Camargo_%26_Luciano"
"22","Pacheco","https://pt.wikipedia.org/wiki/Pacheco"
"23","Vitor Kley","https://pt.wikipedia.org/wiki/Vitor_Kley"
"24","Fernando & Sorocaba ","https://pt.wikipedia.org/wiki/Fernando_%26_Sorocaba_"
"25","Thaeme & Thiago","https://pt.wikipedia.org/wiki/Thaeme_%26_Thiago"
"26","Maiara & Maraisa","https://pt.wikipedia.org/wiki/Maiara_%26_Maraisa"
"27","Ferrugem","https://pt.wikipedia.org/wiki/Ferrugem_(cantor)"
"28","Fred & Gustavo","https://pt.wikipedia.org/wiki/Fred_%26_Gustavo"
"29","Paula Fernandes","https://pt.wikipedia.org/wiki/Paula_Fernandes"
"30","Thiaguinho","https://pt.wikipedia.org/wiki/Thiaguinho"
"31","Katinguelê","https://pt.wikipedia.org/wiki/Katinguelê"
"32","Pixote","https://pt.wikipedia.org/wiki/Pixote"
"33","Mano Walter","https://pt.wikipedia.org/wiki/Mano_Walter"
"34","Turma do Pagode","https://pt.wikipedia.org/wiki/Turma_do_Pagode"
"35","Péricles","https://pt.wikipedia.org/wiki/Péricles"
"36","IZA","https://pt.wikipedia.org/wiki/IZA"
"37","Dilsinho","https://pt.wikipedia.org/wiki/Dilsinho"
"38","Léo Magalhães","https://pt.wikipedia.org/wiki/Léo_Magalhães"
"39","Sorriso Maroto","https://pt.wikipedia.org/wiki/Sorriso_Maroto"
"40","Edson & Hudson","https://pt.wikipedia.org/wiki/Edson_%26_Hudson"
"41","Bruno & Barretto","https://pt.wikipedia.org/wiki/Bruno_%26_Barretto"
"42","Imaginasamba","https://pt.wikipedia.org/wiki/Imaginasamba"
"43","César Menotti & Fabiano","https://pt.wikipedia.org/wiki/César_Menotti_%26_Fabiano"
"44","Day & Lara","https://pt.wikipedia.org/wiki/Day_%26_Lara"
"45","Capital Inicial","https://pt.wikipedia.org/wiki/Capital_Inicial"
"46","Daniel","https://pt.wikipedia.org/wiki/Daniel"
"47","Anitta","https://pt.wikipedia.org/wiki/Anitta"
"48","Henrique & Diego","https://pt.wikipedia.org/wiki/Henrique_%26_Diego"
"49","Simone & Simaria","https://pt.wikipedia.org/wiki/Simone_%26_Simaria"
"50","Humberto & Ronaldo","https://pt.wikipedia.org/wiki/Humberto_%26_Ronaldo"
"51","Bruninho & Davi","https://pt.wikipedia.org/wiki/Bruninho_%26_Davi"
