,artista,influenciado_por,link_artista_influencia
1,Humberto & Ronaldo,Leandro & Leonardo,https://pt.wikipedia.org/wiki/Leandro_%26_Leonardo
2,Humberto & Ronaldo,Chitãozinho & Xororó,https://pt.wikipedia.org/wiki/Chit%C3%A3ozinho_%26_Xoror%C3%B3
3,Humberto & Ronaldo,Bruno & Marrone,https://pt.wikipedia.org/wiki/Bruno_%26_Marrone
4,Humberto & Ronaldo,Jorge & Mateus,https://pt.wikipedia.org/wiki/Jorge_%26_Mateus
5,César Menotti & Fabiano,Zezé Di Camargo & Luciano,https://pt.wikipedia.org/wiki/Zez%C3%A9_Di_Camargo_%26_Luciano
6,Imaginasamba,Pique Novo,https://pt.wikipedia.org/wiki/Pique_Novo
7,Imaginasamba,Jorge Aragão,https://pt.wikipedia.org/wiki/Jorge_Arag%C3%A3o
8,Imaginasamba,Swing & Simpatia,https://pt.wikipedia.org/wiki/Swing_%26_Simpatia
9,Imaginasamba,Almir Guineto,https://pt.wikipedia.org/wiki/Almir_Guineto
10,Léo Magalhães,Chitãozinho & Xororó,https://pt.wikipedia.org/wiki/Chit%C3%A3ozinho_%26_Xoror%C3%B3
11,Léo Magalhães,Leandro & Leonardo,https://pt.wikipedia.org/wiki/Leandro_%26_Leonardo
12,Léo Magalhães,João Paulo & Daniel,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Paulo_%26_Daniel
13,Léo Magalhães,Chico Rey & Paraná,https://pt.wikipedia.org/wiki/Chico_Rey_%26_Paran%C3%A1
14,Léo Magalhães,Gian e Giovani,https://pt.wikipedia.org/wiki/Gian_e_Giovani
15,Léo Magalhães,Bruno & Marrone,https://pt.wikipedia.org/wiki/Bruno_%26_Marrone
16,Léo Magalhães,Guilherme & Santiago,https://pt.wikipedia.org/wiki/Guilherme_%26_Santiago
17,Léo Magalhães,Zezé Di Camargo & Luciano,https://pt.wikipedia.org/wiki/Zez%C3%A9_Di_Camargo_%26_Luciano
18,Michel Teló,Roberto Carlos,https://pt.wikipedia.org/wiki/Roberto_Carlos
19,Michel Teló,Luiz Gonzaga,https://pt.wikipedia.org/wiki/Luiz_Gonzaga
20,Michel Teló,Leonardo,https://pt.wikipedia.org/wiki/Leonardo_(cantor)
21,Michel Teló,Chitãozinho & Xororó,https://pt.wikipedia.org/wiki/Chit%C3%A3ozinho_%26_Xoror%C3%B3
22,Henrique & Juliano,João Paulo & Daniel,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Paulo_%26_Daniel
23,Henrique & Juliano,Mamonas Assassinas,https://pt.wikipedia.org/wiki/Mamonas_Assassinas
24,Zé Neto & Cristiano,João Paulo & Daniel,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Paulo_%26_Daniel
25,Zé Neto & Cristiano,Zezé Di Camargo & Luciano,https://pt.wikipedia.org/wiki/Zez%C3%A9_Di_Camargo_%26_Luciano
26,Zé Neto & Cristiano,Leandro & Leonardo,https://pt.wikipedia.org/wiki/Leandro_%26_Leonardo
27,Eduardo Costa,Trio Parada Dura,https://pt.wikipedia.org/wiki/Trio_Parada_Dura
28,Eduardo Costa,Gino e Geno,https://pt.wikipedia.org/wiki/Gino_e_Geno
29,Eduardo Costa,Chitãozinho & Xororó,https://pt.wikipedia.org/wiki/Chit%C3%A3ozinho_%26_Xoror%C3%B3
30,Eduardo Costa,Teodoro e Sampaio,https://pt.wikipedia.org/wiki/Teodoro_e_Sampaio
31,Eduardo Costa,Irmãs Freitas,https://pt.wikipedia.org/wiki/Irm%C3%A3s_Freitas
32,Eduardo Costa,Milionário e José Rico,https://pt.wikipedia.org/wiki/Milion%C3%A1rio_e_Jos%C3%A9_Rico
33,Eduardo Costa,Tião Carreiro e Pardinho,https://pt.wikipedia.org/wiki/Ti%C3%A3o_Carreiro_e_Pardinho
34,Eduardo Costa,Liu e Léu,https://pt.wikipedia.org/wiki/Liu_e_L%C3%A9u
35,Eduardo Costa,André e Andrade,https://pt.wikipedia.org/wiki/Andr%C3%A9_%26_Andrade
36,Eduardo Costa,Zezé Di Camargo & Luciano,https://pt.wikipedia.org/wiki/Zez%C3%A9_Di_Camargo_%26_Luciano
