artista,influenciado_por,link_artista_influencia
Sandy & Junior,Shania Twain,https://pt.wikipedia.org/wiki/Shania_Twain
Sandy & Junior,Elis Regina,https://pt.wikipedia.org/wiki/Elis_Regina
Sandy & Junior,Chitãozinho & Xororó,https://pt.wikipedia.org/wiki/Chit%C3%A3ozinho_%26_Xoror%C3%B3
Sandy & Junior,Mariah Carey,https://pt.wikipedia.org/wiki/Mariah_Carey
Sandy & Junior,Céline Dion,https://pt.wikipedia.org/wiki/C%C3%A9line_Dion
Sandy & Junior,Whitney Houston,https://pt.wikipedia.org/wiki/Whitney_Houston
Sandy & Junior,Lenny Kravitz,https://pt.wikipedia.org/wiki/Lenny_Kravitz
Sandy & Junior,Ben Harper,https://pt.wikipedia.org/wiki/Ben_Harper
Sandy & Junior,Coldplay,https://pt.wikipedia.org/wiki/Coldplay
Sandy & Junior,Evanescence,https://pt.wikipedia.org/wiki/Evanescence
Jorge Vercillo,Djavan,https://pt.wikipedia.org/wiki/Djavan
Lenine (cantor),Tchaikovsky,https://pt.wikipedia.org/wiki/Tchaikovsky
Lenine (cantor),Glenn Miller,https://pt.wikipedia.org/wiki/Glenn_Miller
Lenine (cantor),Chopin,https://pt.wikipedia.org/wiki/Chopin
Lenine (cantor),Gil Evans,https://pt.wikipedia.org/wiki/Gil_Evans
Lenine (cantor),Dorival Caymmi,https://pt.wikipedia.org/wiki/Dorival_Caymmi
Lenine (cantor),Jackson do Pandeiro,https://pt.wikipedia.org/wiki/Jackson_do_Pandeiro
Caetano Veloso,Marisa Gata Mansa,https://pt.wikipedia.org/wiki/Marisa_Gata_Mansa
Caetano Veloso,João Gilberto,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Gilberto
Caetano Veloso,Luiz Gonzaga,https://pt.wikipedia.org/wiki/Luiz_Gonzaga
Cássia Eller,The Beatles,https://pt.wikipedia.org/wiki/The_Beatles
Cássia Eller,Cazuza,https://pt.wikipedia.org/wiki/Cazuza
Cássia Eller,Renato Russo,https://pt.wikipedia.org/wiki/Renato_Russo
Cássia Eller,Rita Lee,https://pt.wikipedia.org/wiki/Rita_Lee
Cássia Eller,Marisa Monte,https://pt.wikipedia.org/wiki/Marisa_Monte
Cássia Eller,Caetano Veloso,https://pt.wikipedia.org/wiki/Caetano_Veloso
Cássia Eller,Chico Buarque,https://pt.wikipedia.org/wiki/Chico_Buarque
Cássia Eller,Nando Reis,https://pt.wikipedia.org/wiki/Nando_Reis
Cássia Eller,Arrigo Barnabé,https://pt.wikipedia.org/wiki/Arrigo_Barnab%C3%A9
Cássia Eller,Wally Salomão,https://pt.wikipedia.org/wiki/Wally_Salom%C3%A3o
Cássia Eller,Riachão,https://pt.wikipedia.org/wiki/Riach%C3%A3o_(compositor)
Cássia Eller,Janis Joplin,https://pt.wikipedia.org/wiki/Janis_Joplin
Cássia Eller,Jimi Hendrix,https://pt.wikipedia.org/wiki/Jimi_Hendrix
Cássia Eller,John Lennon,https://pt.wikipedia.org/wiki/John_Lennon
Cássia Eller,Nirvana (banda),https://pt.wikipedia.org/wiki/Nirvana_(banda)
Simone,Roberto Carlos,https://pt.wikipedia.org/wiki/Roberto_Carlos
Simone,Milton Nascimento,https://pt.wikipedia.org/wiki/Milton_Nascimento
Simone,Maysa Matarazzo,https://pt.wikipedia.org/wiki/Maysa_Matarazzo
Simone,Dolores Duran,https://pt.wikipedia.org/wiki/Dolores_Duran
Simone,Ângela Maria,https://pt.wikipedia.org/wiki/%C3%82ngela_Maria
Simone,Nora Ney,https://pt.wikipedia.org/wiki/Nora_Ney
Simone,Elizeth Cardoso,https://pt.wikipedia.org/wiki/Elizeth_Cardoso
Led Zeppelin,Muddy Waters,https://pt.wikipedia.org/wiki/Muddy_Waters
Led Zeppelin,Skip James,https://pt.wikipedia.org/wiki/Skip_James
The Beatles,The Byrds,https://pt.wikipedia.org/wiki/The_Byrds
The Beatles,The Beach Boys,https://pt.wikipedia.org/wiki/The_Beach_Boys
The Beatles,Elvis Presley,https://pt.wikipedia.org/wiki/Elvis_Presley
Gloria Estefan,The Beatles,https://pt.wikipedia.org/wiki/The_Beatles
Gloria Estefan,The Rolling Stones,https://pt.wikipedia.org/wiki/The_Rolling_Stones
