"","x"
"1","Marília Mendonça"
"2","Bruno & Marrone"
"3","Naiara Azevedo"
"4","Diego & Victor Hugo"
"5","Luan Santana"
"6","George Henrique & Rodrigo"
"7","Thiago Brava"
"8","Jads & Jadson"
"9","Léo Santana"
"10","Gusttavo Lima"
"11","Matheus & Kauan"
"12","Jorge & Mateus"
"13","Zé Ricardo & Thiago"
"14","Wesley Safadão"
"15","Marcos & Belutti"
"16","Victor & Leo"
"17","Zezé Di Camargo & Luciano"
"18","Pacheco"
"19","Vitor Kley"
"20","Fernando & Sorocaba "
"21","Thaeme & Thiago"
"22","Maiara & Maraisa"
"23","Ferrugem"
"24","Fred & Gustavo"
"25","Paula Fernandes"
"26","Thiaguinho"
"27","Katinguelê"
"28","Pixote"
"29","Mano Walter"
"30","Turma do Pagode"
"31","Péricles"
"32","IZA"
"33","Dilsinho"
"34","Sorriso Maroto"
"35","Edson & Hudson"
"36","Bruno & Barretto"
"37","Day & Lara"
"38","Capital Inicial"
"39","Daniel"
"40","Anitta"
"41","Henrique & Diego"
"42","Simone & Simaria"
"43","Bruninho & Davi"
"44","Humberto & Ronaldo"
"45","César Menotti & Fabiano"
"46","Imaginasamba"
"47","Léo Magalhães"
"48","Michel Teló"
"49","Henrique & Juliano"
"50","Zé Neto & Cristiano"
"51","Eduardo Costa"
"52","Roberta Miranda"
"53","Maria Gadú"
"54","Ana Carolina (cantora)"
"55","Chitãozinho & Xororó"
"56","Sula Miranda"
"57","Shakira"
"58","João Paulo & Daniel"
"59","Bruno Mars"
"60","Usher"
"61","Gino & Geno"
"62","Ivete Sangalo"
"63","Zezé di Camargo"
"64","João Bosco & Vinícius"
"65","As Galvão"
"66","Whitney Houston"
"67","Mariah Carey"
"68","Beyoncé"
"69","Rihanna"
"70","Tina Turner"
"71","Diana Ross"
"72","Janet Jackson"
"73","Michael Jackson"
"74","Stevie Wonder"
"75","Katy Perry"
"76","Frank Aguiar"
"77","Milionário & José Rico"
"78","Pique Novo"
"79","Swing & Simpatia"
"80","Chico Rey & Paraná"
"81","Gian & Giovani"
"82","Guilherme & Santiago"
"83","Luiz Gonzaga"
"84","Trio Parada Dura"
"85","Teodoro & Sampaio"
"86","Irmãs Freitas"
"87","Tião Carreiro & Pardinho"
"88","Liu & Léu"
"89","André & Andrade"
"90","Vanessa da Mata"
"91","Zezé di Camargo & Luciano"
"92","Sandy"
"93","Harmonia do Samba"
"94","Leandro & Leonardo"
"95","Lauryn Hill"
"96","Wanessa Camargo"
"97","Zezé di Camargo e Luciano"
"98","Jorge Aragão"
"99","Almir Guineto"
"100","Roberto Carlos"
"101","Leonardo"
"102","Mamonas Assassinas"
"103","Liu e Léu"
"104","Maria Bethânia"
"105","Adoniran Barbosa"
"106","Marisa Monte"
"107","Gal Costa"
"108","Os Paralamas do Sucesso"
"109","João Bosco (músico)"
"110","Chico Buarque"
"111","Zélia Duncan"
"112","Gilberto Gil"
"113","Elis Regina"
"114","Nina Simone"
"115","Björk"
"116","Alanis Morissette"
"117","Madonna"
"118","John Lennon"
"119","Sheryl Crow"
"120","Marc Anthony"
"121","U2"
"122","Meredith Brooks"
"123","Nirvana (banda)"
"124","The Police"
"125","The Cure"
"126","Bee Gees"
"127","Prince"
"128","Amy Winehouse"
"129","Bobby Brown"
"130","Luther Vandross"
"131","Marvin gaye"
"132","Margareth Menezes"
"133","Durval Lélys"
"134","Bell Marques"
"135","Cher"
"136","Cissy Houston"
"137","Aretha Franklin"
"138","Barbra Streisand"
"139","Minnie Riperton"
"140","Billie Holiday"
"141","Sarah Vaughan"
"142","Gladys Knight"
"143","Donna Summer"
"144","Mary J. Blige"
"145","Lady Gaga"
"146","Christina Aguilera"
"147","Gwen Stefani"
"148","Destiny's Child"
"149","Louis Armstrong"
"150","Sammy Davis Jr."
"151","Marvin Gaye"
"152","Jackie Wilson"
"153","Gene Kelly"
"154","Fred Astaire"
"155","Quincy Jones"
"156","Charlie Chaplin"
"157","Marcel Marceau"
"158","Cyndi Lauper"
"159","ABBA"
"160","Ace Of Base"
"161","Caçula e Marinheiro"
"162","Tibagi e Miltinho"
"163","Tom Jobim"
"164","Milton Nascimento"
"165","Tonico e Tinoco"
"166","Damien Rice"
"167","KT Tunstall"
"168","Nerina Pallot"
"169","Fundo de Quintal"
"170","Beatles"
"171","Curtis Mayfield"
"172","Celine Dion"
"173","Dixie Chicks"
"174","Jay-Z"
"175","Candeia"
"176","Roberto Ribeiro"
"177","Monarco"
"178","Acadêmicos do Salgueiro"
"179","Originais do Samba"
"180","Bob Nelson"
"181","Bill Haley"
"182","Gene Vincent"
"183","Ultraje a Rigor"
"184","Legião Urbana"
"185","Titãs"
"186","Paralamas do Sucesso"
"187","Barão Vermelho"
"188","Guns N' Roses"
"189","Zico & Zéca"
"190","Vieira e Vieirinha"
"191","Sandy & Junior"
"192","Jorge Vercillo"
"193","Lenine (cantor)"
"194","Caetano Veloso"
"195","Cássia Eller"
"196","Simone"
"197","Led Zeppelin"
"198","The Beatles"
"199","Gloria Estefan"
"200","Elvis Presley"
"201","James Brown"
"202","Bob Marley"
"203","Dionne Warwick"
"204","Sade Adu"
"205","Alicia Keys"
"206","Little Richard"
